Country,Proved0reserves0Bcm,Proved0reserves0Bcf,Production0Bcm,Production0Bcf,R/P0Ratio0Years,,
Afghanistan,49.6,1750,0,0,0,,
Albania,0.8,29,0,0,0,,
Algeria,4504,159057.4,83.3,2931.1,54.4,,
Angola,308.1,10880.5,0.7,25.9,440.1,,
Argentina,332.2,11732.1,36.5,1288.7,9.1,,
Armenia,18,635.7,0,0,0,,
Australia,3471.4,122591.7,67.1,2368,51.8,,
Austria,9.7,341,1.2,44,8.1,,
Azerbaijan,1148.3,40553.1,18.2,641.7,63.2,,
Bahrain,172.1,6076.4,15.5,548.6,11.1,,
Bangladesh,232.2,8198.4,26.8,947.2,8.7,,
Barbados,0.1,5,0,0,0,,
Belarus,2.8,100,0.2,0,0,,
Belgium,0,0,0,0,0,,
Belize,0,0,0,0,0,,
Benin,1.1,40,0,0,0,,
Bhutan,0,0,0,0,0,,
Bolivia,281,9923.4,20.9,736.5,13.5,,
Bosnia-Herzegovina,0,0,0,0,0,,
Botswana,0,0,0,0,0,,
Brazil,423.5,14956.1,22.9,809.2,18.5,,
Brunei,276,9746.8,12.7,448.4,21.7,,
Bulgaria,5.7,200,0,0,0,,
Burkina Faso,0,0,0,0,0,,
Burundi,0,0,0,0,0,,
Cambodia,0,0,0,0,0,,
Cameroon,150,5297.2,0,0,0,,
Canada,1987.1,70174.6,163.5,5774.9,12.2,,
Cape Verde Islands,0,0,0,0,0,,
Central African Republic,0,0,0,0,0,,
Chad,0,0,0,0,0,-,-
Chile,40,1412.6,0.9,32.1,44.1,,
China,3841.3,135652.7,138,4872.1,27.8,,
Colombia,134.7,4758,11,389,12.2,,
Congo (DRC),1,35,0,0,0,,
Congo (Republic of),115,4061.2,0,0,0,,
Costa Rica,0,0,0,0,0,,
Cote d'Ivoire,28.3,1000,1.3,46.6,21.8,,
Croatia,24.9,880,1.7,60.6,14.6,,
Cuba,70.8,2500,0,0,0,,
Cyprus,141.6,5000.6,0,0,0,,
Czech Republic,4,140,0.2,8.7,20,,
Denmark,31,1094.8,4.6,162.2,6.7,,
Dominican Republic,0,0,0,0,0,,
Ecuador,10.9,384.9,0.6,20.4,18.2,,
Egypt,1846.3,65200,45.6,1609.6,40.5,,
El Salvador,0,0,0,0,0,,
Equatorial Guinea,36.8,1300,6.6,233.3,5.6,,
Eritrea,0,0,0,0,0,,
Estonia,0,0,0,0,0,,
Ethiopia,24.9,880,0,0,0,,
Faroe Islands,0,0,0,0,0,,
Finland,0,0,0,0.1,0,,
France,9.7,341,0.3,10.3,33.2,,
Gabon,28.3,1000,0.4,0,0,,
Gambia,0,0,0,0,0,,
Georgia,8.5,300,0,0,0,,
Germany,39,1376.4,7.2,253.9,5.4,,
Ghana,22.7,800,0,0,0,,
Greece,1,35,0,0.2,0,,
Greenland,0,0,0,0,0,,
