Country,"Solar Photovoltaic(PV) Generating Capacity (MW) in 2015 IRENA (2016)","Concentrated Solar Power (CSP) (MW) in 2015 IRENA (2016)","Total Solar Generating Capacity (MW) in 2015 IRENA (2016)","Total Solar Electricity Consumption(GWh) in 2015 BP (2016)","Total Solar Electricity Generation in 2014 (GWh) IRENA (2016)","Share of Solar PV in Total Installed Power Generating Capacity in 2015 (%)BP (2016)"
Afghanistan,1,-,1,-,1,-
Albania,1,-,1,-,1,-
Algeria,274,25,299,79,194,-
Angola,12,-,12,-,19,-
Antigua and Barbuda,3,-,3,-,1,-
Argentina,8,-,8,-,16,-
Armenia,1,-,1,-,-,-
Aruba,5,-,5,-,7,-
Australia,5031,3,5034,6073,4858,2.20%
Austria,900,-,900,956,785,0.40%
Azerbaijan,3,-,3,-,1,-
Bahamas,1,-,1,-,,-
Bahrain,5,-,5,-,9,-
Bangladesh,167,-,167,230,212,-
Barbados,9,-,9,-,10,-
Belgium,3200,-,3200,3162,2883,1.40%
Belize,1,-,1,-,6,-
Benin,1,-,1,-,2,-
Bolivia,7,-,7,-,-,-
Bosnia and Herzegovina,11,-,11,-,5,-
Botswana,2,-,2,-,2,-
Brazil,21,-,21,-,61,-
Brunei Darsm,1,-,1,-,2,-
Bulgaria,1040,-,1040,1401,1252,0.40%
Burkina Faso,7,-,7,-,10,-
Burundi,2,-,2,-,3,-
Cabo Verde,10,-,10,-,14,-
Cambodia,6,-,6,-,3,-
Cameroon,2,-,2,-,,-
Canada,2236,-,2236,2589,1756,1.10%
Chile,848,-,848,1380,489,0.40%
China,43050,12,43062,39200,25007,18.90%
Chinese Taipei,800,-,800,875,552,0.40%
Cook Islands,1,-,1,-,2,-
Costa Rica,1,-,1,-,2,-
Croatia,44,-,44,-,35,-
Cuba,8,-,8,-,29,-
Curacao,8,,8,-,12,
Cyprus,85,-,85,-,84,-
Czech Republic,2075,-,2075,2262,2123,9.50%
Denmark,791,-,791,604,596,0.30%
Dominican,16,-,16,-,20,-
Ecuador,26,-,26,-,16,-
Egypt,25,20,45,70,40,-
El Salvador,2,-,2,-,2,-
Fiji,2,-,2,-,1,-
Finland,11,-,11,-,8,-
France,6549,-,6549,7332,5909,2.80%
Fr Guiana,39,-,39,-,51,-
French Polynesia,22,-,22,-,5,-
FYR Macedonia,16,-,16,-,14,-
Germany,39634,2,39636,38432,36056,17.20%
Ghana,2,-,2,-,4,-
Greece,2596,-,2596,3503,3792,1.10%
Guadeloupe,67,-,67,-,103,-
Guatemala,80,-,80,-,7,-
Guyana,2,-,2,-,3,-
Honduras,455,-,455,-,-,-
Hungary,96,-,96,107,56,-
India,4964,204,5167,6600,4910,0.40%
Indonesia,12,-,12,-,11,-
Iran,-,17,17,104,19,-
Ireland,1,-,1,-,1,-
Israel,766,6,772,1048,770,2.20%
Italy,18910,6,18916,25 205,22319,8.20%
Jamaica,6,-,6,-,7,-
Japan,33300,-,33300,30915,26534,15.40%
Jordan,26,-,26,-,,-
Kazakhstan,55,-,55,-,1,-
Kenya,24,-,24,-,30,-
Kiribati,2,-,2,-,2,-
Korea Rep,3173,-,3173,3818,2729,1.50%
Lao PDR,1,-,1,-,-,-
Latvia,2,-,2,-,-,-
Lebanon,4,-,4,-,7,-
Libya,5,-,5,-,8,-
Lithuania,71,-,71,73,73,-
Luxembourg,120,-,120,-,95,-
Madagascar,5,-,5,-,4,-
Malawi,1,-,1,-,6,-
Malaysia,184,-,184,125,160,0.10%
Maldives,4,-,4,-,2,-
