Country,Reactors in Operation - No Of Reactors,Reactors in Operation -Net Capacity [GW],Reactors Under Construction - No Of Reactors,Reactors Under Construction - No of Reactors,Nuclear Electricity Supplied [GWh], of Total
Argentina,3,1.6,1,0.025,6519,4.8
Armenia,1,0.4,0,0,2571,34.5
Belarus,0,0,2,2.2,0,0
Belgium,7,5.9,0,0,24825,37.5
Brazil,2,1.9,1,1.2,13892,2.8
Bulgaria,2,1.9,0,0,14701,31.3
Canada,19,13.5,0,0,95637,16.6
China,31,26.8,24,24.1,161202,3
Czech Republic,6,3.9,0,0,25337,32.5
Finland,4,2.8,1,1.6,22326,33.7
France,58,63.1,1,1.6,419022,76.3
Germany,8,10.8,0,0,86810,14.1
Hungary,4,1.9,0,0,14960,52.7
India,21,5.78,6,4.3,0,3.5
Iran,1,0.9,0,0,3198,1.3
Japan,43,40.3,2,2.7,4346,0.5
Korea Rep,24,21.7,4,5.4,157199,31.7
Mexico,2,1.4,0,0,11185,6.8
Netherlands,1,0.5,0,0,3862,3.7
Pakistan,3,0.7,2,0.6,4333,4.4
Romania,2,1.3,0,0,10710,17.3
Russia,35,25.4,8,6.6,182807,18.6
Slovakia,4,1.8,2,0.9,14084,55.9
Slovenia,1,0.7,0,0,5372,38
South Africa,2,1.9,0,0,10965,4.7
Spain,7,7.1,0,0,54759,20.3
Sweden,10,9.6,0,0,54455,34.3
Switzerland,5,3.3,0,0,22156,33.5
"Taiwan, China",6,5.1,2,2.6,0,16.3
UAE,0,0,4,5.4,0,0
Ukraine,15,13.1,2,1.9,82405,56.5
United Kingdom,15,8.9,0,0,63895,18.9
United States of America (USA),99,99.2,5,5.6,798012,19.5
