FID,gid,capacity_factor
west_wind_site_metadata.89865,89865,30.828125
west_wind_site_metadata.89866,89866,31.234375
west_wind_site_metadata.89867,89867,32.03125
west_wind_site_metadata.89868,89868,29.984375
west_wind_site_metadata.89869,89869,29.3125
west_wind_site_metadata.89870,89870,29.53125
west_wind_site_metadata.89871,89871,30.015625
west_wind_site_metadata.89872,89872,34.46875
west_wind_site_metadata.89873,89873,34.3125
west_wind_site_metadata.89874,89874,34.09375
west_wind_site_metadata.89875,89875,30.46875
west_wind_site_metadata.89876,89876,31.796875
west_wind_site_metadata.89877,89877,30.6875
west_wind_site_metadata.89878,89878,33.46875
west_wind_site_metadata.89879,89879,32.125
west_wind_site_metadata.89880,89880,31.734375
west_wind_site_metadata.89881,89881,33.15625
west_wind_site_metadata.89882,89882,32.09375
west_wind_site_metadata.89883,89883,30.640625
west_wind_site_metadata.89884,89884,31.625
west_wind_site_metadata.89885,89885,28.90625
west_wind_site_metadata.89886,89886,30.15625
west_wind_site_metadata.89887,89887,28.75
west_wind_site_metadata.89888,89888,28.453125
west_wind_site_metadata.89889,89889,30.96875
west_wind_site_metadata.89890,89890,30.96875
west_wind_site_metadata.89891,89891,30.0625
west_wind_site_metadata.89892,89892,30.53125
west_wind_site_metadata.89893,89893,29.328125
west_wind_site_metadata.89894,89894,29.515625
west_wind_site_metadata.89895,89895,31.015625
west_wind_site_metadata.89896,89896,30.84375
west_wind_site_metadata.89897,89897,30.421875
west_wind_site_metadata.89898,89898,18.8125
west_wind_site_metadata.89899,89899,19.296875
west_wind_site_metadata.89900,89900,20.359375
west_wind_site_metadata.89901,89901,19.375
west_wind_site_metadata.89902,89902,19.75
west_wind_site_metadata.89903,89903,30.75
west_wind_site_metadata.89904,89904,33.59375
west_wind_site_metadata.89905,89905,19.34375
west_wind_site_metadata.89906,89906,28.5625
west_wind_site_metadata.89907,89907,19.75
west_wind_site_metadata.89908,89908,30.46875
west_wind_site_metadata.89909,89909,34.84375
west_wind_site_metadata.89910,89910,34.0625
west_wind_site_metadata.89911,89911,23.109375
west_wind_site_metadata.89912,89912,22.296875
west_wind_site_metadata.89913,89913,19.5625
west_wind_site_metadata.89914,89914,30.296875
west_wind_site_metadata.89915,89915,35.53125
west_wind_site_metadata.89916,89916,34.28125
west_wind_site_metadata.89917,89917,34.28125
west_wind_site_metadata.89918,89918,33.34375
west_wind_site_metadata.89919,89919,19.640625
west_wind_site_metadata.89920,89920,22.109375
